Bionicle ,Toy ID: 2 , Toy weight: 4
Lego ,Toy ID: 1 , Toy weight: 2
Doll ,Toy ID: 3 , Toy weight: 6
Bionicle ,Toy ID: 2 , Toy weight: 4
Bionicle ,Toy ID: 2 , Toy weight: 4
Bionicle ,Toy ID: 2 , Toy weight: 4
Doll ,Toy ID: 3 , Toy weight: 6
Doll ,Toy ID: 3 , Toy weight: 6
Doll ,Toy ID: 3 , Toy weight: 6
Bionicle ,Toy ID: 2 , Toy weight: 4
Bionicle ,Toy ID: 2 , Toy weight: 4
Doll ,Toy ID: 3 , Toy weight: 6
Bionicle ,Toy ID: 2 , Toy weight: 4
Doll ,Toy ID: 3 , Toy weight: 6
Doll ,Toy ID: 3 , Toy weight: 6
Bionicle ,Toy ID: 2 , Toy weight: 4
Lego ,Toy ID: 1 , Toy weight: 2
Doll ,Toy ID: 3 , Toy weight: 6
Doll ,Toy ID: 3 , Toy weight: 6
Doll ,Toy ID: 3 , Toy weight: 6
